sweep,kernel,M,N,K,tiles,count,gpu_median_s,gpu_p10_s,gpu_p90_s,wall_median_s,gpu_per_dispatch_s,wall_per_dispatch_s,max_rel_vs_32x32
dense,naive,1,3072,1024,96,1,0.000058167,0.000057708,0.000058417,0.000205040,0.000058167,0.000205040,0
dense,naive,1,3072,1024,96,4,0.000229625,0.000229417,0.000230000,0.000376940,0.000057406,0.000094235,0
dense,naive,1,3072,1024,96,16,0.000921125,0.000920042,0.000921500,0.001067996,0.000057570,0.000066750,0
dense,naive,1,3072,1024,96,64,0.003647875,0.003646625,0.003651583,0.003801942,0.000056998,0.000059405,0
dense,naive,1,3072,1024,96,256,0.014538708,0.014534667,0.014549250,0.014764071,0.000056792,0.000057672,0
dense,naive,1,3072,1024,96,1024,0.058736958,0.058714250,0.058760167,0.059008956,0.000057360,0.000057626,0
dense,simd,1,3072,1024,96,1,0.000066625,0.000066167,0.000067000,0.000239015,0.000066625,0.000239015,0
dense,simd,1,3072,1024,96,4,0.000262583,0.000262083,0.000263417,0.000404000,0.000065646,0.000101000,0
dense,simd,1,3072,1024,96,16,0.001043125,0.001041292,0.001045833,0.001196980,0.000065195,0.000074811,0
dense,simd,1,3072,1024,96,64,0.004187458,0.004183125,0.004194333,0.004338026,0.000065429,0.000067782,0
dense,simd,1,3072,1024,96,256,0.016730875,0.016716500,0.016749958,0.016970038,0.000065355,0.000066289,0
dense,simd,1,3072,1024,96,1024,0.068648167,0.068595833,0.068710500,0.068932056,0.000067039,0.000067316,0
dense,tensor,1,3072,1024,96,1,0.000033417,0.000033167,0.000033583,0.000174999,0.000033417,0.000174999,0
dense,tensor,1,3072,1024,96,4,0.000128875,0.000128417,0.000129417,0.000273943,0.000032219,0.000068486,0
dense,tensor,1,3072,1024,96,16,0.000511625,0.000511042,0.000512458,0.000657916,0.000031977,0.000041120,0
dense,tensor,1,3072,1024,96,64,0.002054833,0.002052958,0.002058625,0.002209067,0.000032107,0.000034517,0
dense,tensor,1,3072,1024,96,256,0.008179875,0.008173500,0.008185083,0.008368969,0.000031953,0.000032691,0
dense,tensor,1,3072,1024,96,1024,0.033480875,0.033461333,0.033511458,0.033746004,0.000032696,0.000032955,0
expert,naive,1,768,2048,24,1,0.000114250,0.000114083,0.000114500,0.000260949,0.000114250,0.000260949,0
expert,naive,1,768,2048,24,4,0.000404875,0.000404292,0.000405292,0.000551939,0.000101219,0.000137985,0
