model,regime,n,pos,median_s,p10_s,p90_s,tok_s,weight_gb,kv_gb,gbps,pct_of_307
models/Qwen3-0.6B,prefill,512,0,0.138665,0.126184,0.152660,3692.34,1.1921,0.0000,0.00,0.00
models/Qwen3-0.6B,decode,1,512,0.014353,0.014329,0.014515,69.67,1.1921,0.1177,91.26,29.73
models/Qwen3-0.6B,verify32,32,512,0.020318,0.020286,0.020367,1574.99,1.1921,0.0000,0.00,0.00
models/Qwen3-0.6B-q8_row-embed,prefill,512,0,0.143973,0.129481,0.154697,3556.22,0.5971,0.0000,0.00,0.00
models/Qwen3-0.6B-q8_row-embed,decode,1,512,0.013613,0.013484,0.014009,73.46,0.5971,0.1177,52.51,17.10
models/Qwen3-0.6B-q8_row-embed,verify32,32,512,0.018764,0.018740,0.019702,1705.41,0.5971,0.0000,0.00,0.00
models/Qwen3-0.6B-q4_g32,prefill,512,0,0.247435,0.214931,0.261477,2069.23,0.5590,0.0000,0.00,0.00
models/Qwen3-0.6B-q4_g32,decode,1,512,0.013412,0.013403,0.013429,74.56,0.5590,0.1177,50.45,16.43
models/Qwen3-0.6B-q4_g32,verify32,32,512,0.030332,0.030306,0.030367,1055.00,0.5590,0.0000,0.00,0.00
models/Qwen3-0.6B-q4_g32-embed,prefill,512,0,0.242910,0.220962,0.257588,2107.77,0.3354,0.0000,0.00,0.00
models/Qwen3-0.6B-q4_g32-embed,decode,1,512,0.013458,0.013446,0.013478,74.31,0.3354,0.1177,33.66,10.97
models/Qwen3-0.6B-q4_g32-embed,verify32,32,512,0.031767,0.031741,0.031803,1007.34,0.3354,0.0000,0.00,0.00
