sweep,kernel,M,N,K,median_s,p10_s,p90_s,gflops,gbps,pct_of_307
batch-sweep,naive,1,3072,1024,0.000261125,0.000258375,0.000262250,24.094,24.156,7.87
batch-sweep,naive,2,3072,1024,0.000300875,0.000291875,0.000319167,41.821,21.019,6.85
batch-sweep,naive,4,3072,1024,0.000270250,0.000205125,0.000397500,93.121,23.523,7.66
batch-sweep,naive,8,3072,1024,0.000254000,0.000251750,0.000264042,198.156,25.286,8.24
batch-sweep,naive,16,3072,1024,0.000270000,0.000266625,0.000292542,372.827,24.273,7.91
batch-sweep,naive,32,3072,1024,0.000422750,0.000421875,0.000455917,476.231,16.122,5.25
batch-sweep,naive,64,3072,1024,0.000637708,0.000602375,0.000701042,631.406,11.510,3.75
batch-sweep,naive,128,3072,1024,0.001142292,0.001139375,0.001203375,704.992,7.344,2.39
batch-sweep,naive,256,3072,1024,0.002287500,0.002260583,0.002334250,704.093,4.584,1.49
batch-sweep,naive,512,3072,1024,0.004556292,0.004503375,0.004598208,706.984,3.222,1.05
batch-sweep,simd,1,3072,1024,0.000066250,0.000065917,0.000067292,94.965,95.213,31.01
batch-sweep,simd,2,3072,1024,0.000066833,0.000066333,0.000067750,188.273,94.627,30.82
batch-sweep,simd,4,3072,1024,0.000066375,0.000066000,0.000072250,379.146,95.774,31.20
batch-sweep,simd,8,3072,1024,0.000067583,0.000066375,0.000068208,744.735,95.031,30.95
batch-sweep,simd,16,3072,1024,0.000068667,0.000068375,0.000069708,1465.970,95.441,31.09
batch-sweep,simd,32,3072,1024,0.000079333,0.000079042,0.000079833,2537.730,85.913,27.98
batch-sweep,simd,64,3072,1024,0.000122875,0.000122583,0.000123625,3276.933,59.736,19.46
batch-sweep,simd,128,3072,1024,0.000217375,0.000216625,0.000218333,3704.687,38.590,12.57
batch-sweep,simd,256,3072,1024,0.000404250,0.000403458,0.000413125,3984.200,25.939,8.45
batch-sweep,simd,512,3072,1024,0.000775875,0.000775583,0.000788958,4151.733,18.921,6.16
batch-sweep,tensor,1,3072,1024,0.000033542,0.000033250,0.000035583,187.571,188.060,61.26
batch-sweep,tensor,2,3072,1024,0.000033375,0.000033167,0.000035417,377.016,189.490,61.72
batch-sweep,tensor,4,3072,1024,0.000033750,0.000033583,0.000034250,745.654,188.355,61.35
batch-sweep,tensor,8,3072,1024,0.000033167,0.000033000,0.000033417,1517.537,193.644,63.08
batch-sweep,tensor,16,3072,1024,0.000033125,0.000032875,0.000033375,3038.892,197.845,64.44
batch-sweep,tensor,32,3072,1024,0.000033458,0.000033125,0.000034250,6017.233,203.708,66.35
batch-sweep,tensor,64,3072,1024,0.000060000,0.000059625,0.000060500,6710.887,122.334,39.85
batch-sweep,tensor,128,3072,1024,0.000112917,0.000112333,0.000113500,7131.865,74.290,24.20
batch-sweep,tensor,256,3072,1024,0.000214500,0.000213875,0.000219125,7508.684,48.885,15.92
batch-sweep,tensor,512,3072,1024,0.000421208,0.000416625,0.000422333,7647.582,34.852,11.35
width-at-M1,naive,1,256,1024,0.000059875,0.000059750,0.000060167,8.756,8.842,2.88
width-at-M1,naive,1,512,1024,0.000058375,0.000058208,0.000058625,17.963,18.068,5.89
width-at-M1,naive,1,1024,1024,0.000058125,0.000057875,0.000058375,36.080,36.221,11.80
width-at-M1,naive,1,2048,1024,0.000057667,0.000057500,0.000057833,72.734,72.947,23.76
width-at-M1,naive,1,4096,1024,0.000055167,0.000054792,0.000056167,152.059,152.431,49.65
width-at-M1,naive,1,8192,1024,0.000060833,0.000059750,0.000062250,275.790,276.396,90.03
width-at-M1,naive,1,16384,1024,0.000180000,0.000171458,0.000193625,186.414,186.800,60.85
width-at-M1,simd,1,256,1024,0.000064125,0.000063917,0.000064292,8.176,8.256,2.69
width-at-M1,simd,1,512,1024,0.000063750,0.000063625,0.000063875,16.448,16.545,5.39
width-at-M1,simd,1,1024,1024,0.000064250,0.000064167,0.000064500,32.640,32.768,10.67
width-at-M1,simd,1,2048,1024,0.000065875,0.000065750,0.000066042,63.671,63.857,20.80
width-at-M1,simd,1,4096,1024,0.000081292,0.000080625,0.000084875,103.191,103.443,33.69
width-at-M1,simd,1,8192,1024,0.000149958,0.000149083,0.000151125,111.879,112.125,36.52
width-at-M1,simd,1,16384,1024,0.000280125,0.000273292,0.000281625,119.784,120.032,39.10
width-at-M1,tensor,1,256,1024,0.000019167,0.000019000,0.000019375,27.354,27.621,9.00
width-at-M1,tensor,1,512,1024,0.000018750,0.000018583,0.000018833,55.924,56.252,18.32
width-at-M1,tensor,1,1024,1024,0.000020250,0.000020000,0.000020417,103.563,103.968,33.87
width-at-M1,tensor,1,2048,1024,0.000029042,0.000028708,0.000029417,144.424,144.847,47.18
width-at-M1,tensor,1,4096,1024,0.000044625,0.000044417,0.000045000,187.980,188.439,61.38
width-at-M1,tensor,1,8192,1024,0.000078750,0.000078417,0.000079500,213.044,213.512,69.55
width-at-M1,tensor,1,16384,1024,0.000159875,0.000158500,0.000167250,209.879,210.315,68.51
