sweep,kernel,M,N,K,median_s,p10_s,p90_s,gflops,gbps,pct_of_307
quant-batch,bf16,1,3072,1024,0.000033292,0.000033042,0.000033875,188.980,189.472,61.72
quant-batch,q8_row,1,3072,1024,0.000032708,0.000032500,0.000032958,192.350,96.864,31.55
quant-batch,q8_g32,1,3072,1024,0.000039000,0.000038667,0.000039333,161.319,86.121,28.05
quant-batch,q4_row,1,3072,1024,0.000033083,0.000032917,0.000033375,190.170,48.162,15.69
quant-batch,q4_g64,1,3072,1024,0.000035583,0.000035167,0.000036125,176.809,47.368,15.43
quant-batch,q4_g32,1,3072,1024,0.000034750,0.000034500,0.000035125,181.049,51.333,16.72
quant-batch,bf16,2,3072,1024,0.000033208,0.000033042,0.000033625,378.908,190.441,62.03
quant-batch,q8_row,2,3072,1024,0.000032667,0.000032458,0.000032875,385.191,97.489,31.76
quant-batch,q8_g32,2,3072,1024,0.000039750,0.000039458,0.000040000,316.551,84.908,27.66
quant-batch,q4_row,2,3072,1024,0.000033042,0.000032917,0.000033167,380.820,48.656,15.85
quant-batch,q4_g64,2,3072,1024,0.000036000,0.000035625,0.000036625,349.525,47.218,15.38
quant-batch,q4_g32,2,3072,1024,0.000035375,0.000035125,0.000035625,355.701,50.831,16.56
quant-batch,bf16,4,3072,1024,0.000033375,0.000033042,0.000033625,754.032,190.472,62.04
quant-batch,q8_row,4,3072,1024,0.000032625,0.000032500,0.000032875,771.366,98.618,32.12
quant-batch,q8_g32,4,3072,1024,0.000040875,0.000040750,0.000041125,615.678,83.373,27.16
quant-batch,q4_row,4,3072,1024,0.000033125,0.000032875,0.000033292,759.723,49.399,16.09
quant-batch,q4_g64,4,3072,1024,0.000037083,0.000036875,0.000037333,678.629,46.612,15.18
quant-batch,q4_g32,4,3072,1024,0.000037750,0.000037542,0.000038417,666.644,48.392,15.76
quant-batch,bf16,8,3072,1024,0.000033250,0.000033042,0.000033500,1513.734,193.159,62.92
quant-batch,q8_row,8,3072,1024,0.000032833,0.000032667,0.000033125,1532.944,99.988,32.57
quant-batch,q8_g32,8,3072,1024,0.000046250,0.000046042,0.000046500,1088.252,75.101,24.46
quant-batch,q4_row,8,3072,1024,0.000033208,0.000033000,0.000033333,1515.633,51.002,16.61
quant-batch,q4_g64,8,3072,1024,0.000039500,0.000039125,0.000040458,1274.219,45.212,14.73
quant-batch,q4_g32,8,3072,1024,0.000042917,0.000042625,0.000043667,1172.776,43.903,14.30
quant-batch,bf16,16,3072,1024,0.000033208,0.000032917,0.000033542,3031.266,197.348,64.28
quant-batch,q8_row,16,3072,1024,0.000033083,0.000032875,0.000033375,3042.719,103.194,33.61
quant-batch,q8_g32,16,3072,1024,0.000057333,0.000057125,0.000057583,1755.755,62.869,20.48
quant-batch,q4_row,16,3072,1024,0.000033417,0.000033292,0.000033583,3012.368,54.116,17.63
quant-batch,q4_g64,16,3072,1024,0.000044833,0.000044375,0.000045958,2245.278,42.391,13.81
quant-batch,q4_g32,16,3072,1024,0.000053875,0.000053375,0.000054333,1868.460,37.102,12.09
quant-batch,bf16,32,3072,1024,0.000033333,0.000033083,0.000033625,6039.798,204.472,66.60
quant-batch,q8_row,32,3072,1024,0.000033750,0.000033500,0.000034583,5965.232,108.923,35.48
quant-batch,q8_g32,32,3072,1024,0.000079750,0.000079250,0.000080208,2524.471,48.484,15.79
quant-batch,q4_row,32,3072,1024,0.000033708,0.000033625,0.000033833,5972.605,60.453,19.69
quant-batch,q4_g64,32,3072,1024,0.000057500,0.000056667,0.000058458,3501.332,37.042,12.07
quant-batch,q4_g32,32,3072,1024,0.000077375,0.000076917,0.000078667,2601.959,28.798,9.38
quant-batch,bf16,64,3072,1024,0.000060000,0.000059625,0.000060250,6710.887,122.334,39.85
quant-batch,q8_row,64,3072,1024,0.000060708,0.000060500,0.000061083,6632.585,69.191,22.54
quant-batch,q8_g32,64,3072,1024,0.000149667,0.000149167,0.000150208,2690.333,29.338,9.56
quant-batch,q4_row,64,3072,1024,0.000059250,0.000059125,0.000059458,6795.834,42.135,13.72
quant-batch,q4_g64,64,3072,1024,0.000099875,0.000099125,0.000100625,4031.571,25.919,8.44
quant-batch,q4_g32,64,3072,1024,0.000142125,0.000141500,0.000142500,2833.092,18.906,6.16
quant-batch,bf16,128,3072,1024,0.000113000,0.000112667,0.000113333,7126.605,74.235,24.18
quant-batch,q8_row,128,3072,1024,0.000113250,0.000112875,0.000113750,7110.873,46.349,15.10
quant-batch,q8_g32,128,3072,1024,0.000275500,0.000274792,0.000276500,2923.072,19.744,6.43
quant-batch,q4_row,128,3072,1024,0.000108750,0.000108542,0.000109083,7405.116,31.393,10.23
quant-batch,q4_g64,128,3072,1024,0.000187000,0.000186250,0.000187750,4306.451,18.750,6.11
quant-batch,q4_g32,128,3072,1024,0.000264917,0.000264250,0.000266625,3039.848,13.606,4.43
quant-batch,bf16,256,3072,1024,0.000214375,0.000214000,0.000218250,7513.062,48.913,15.93
quant-batch,q8_row,256,3072,1024,0.000213750,0.000213500,0.000218500,7535.030,34.368,11.19
quant-batch,q8_g32,256,3072,1024,0.000518750,0.000518125,0.000520250,3104.796,14.528,4.73
quant-batch,q4_row,256,3072,1024,0.000205750,0.000205417,0.000210250,7828.008,25.512,8.31
quant-batch,q4_g64,256,3072,1024,0.000352333,0.000351458,0.000358250,4571.276,15.159,4.94
quant-batch,q4_g32,256,3072,1024,0.000498000,0.000496917,0.000499875,3234.162,10.923,3.56
quant-batch,bf16,512,3072,1024,0.000421167,0.000416708,0.000422583,7648.339,34.856,11.35
quant-batch,q8_row,512,3072,1024,0.000419292,0.000414458,0.000423875,7682.541,27.524,8.97
quant-batch,q8_g32,512,3072,1024,0.001014042,0.001003500,0.001015500,3176.620,11.569,3.77
quant-batch,q4_row,512,3072,1024,0.000404042,0.000399750,0.000404792,7972.508,22.075,7.19
quant-batch,q4_g64,512,3072,1024,0.000681833,0.000681000,0.000687417,4724.359,13.216,4.30
quant-batch,q4_g32,512,3072,1024,0.000970750,0.000962333,0.001015042,3318.285,9.384,3.06
