n,distinct_experts,median_s,p10_s,p90_s,expert_gb_read,layers,est_all_layers_s
1,8,0.000653500,0.000650708,0.000657708,0.0755,48,0.031368
2,8,0.000661875,0.000657750,0.000670875,0.0755,48,0.031770
2,16,0.000990125,0.000987208,0.000991875,0.1510,48,0.047526
4,8,0.000668750,0.000663625,0.000671333,0.0755,48,0.032100
4,16,0.001005875,0.001001750,0.001011875,0.1510,48,0.048282
4,24,0.001349792,0.001343250,0.001365458,0.2265,48,0.064790
4,32,0.001675667,0.001672000,0.001680250,0.3020,48,0.080432
8,8,0.000669625,0.000662708,0.000678208,0.0755,48,0.032142
8,16,0.001043375,0.001031292,0.001055125,0.1510,48,0.050082
8,24,0.001379750,0.001373417,0.001385042,0.2265,48,0.066228
8,32,0.001721000,0.001716083,0.001748292,0.3020,48,0.082608
8,48,0.002387292,0.002381917,0.002405042,0.4530,48,0.114590
8,64,0.003084042,0.003077250,0.003090625,0.6040,48,0.148034
16,8,0.000791333,0.000776792,0.000821917,0.0755,48,0.037984
16,16,0.001209417,0.001201625,0.001227417,0.1510,48,0.058052
16,24,0.001531750,0.001517167,0.001548125,0.2265,48,0.073524
16,32,0.001876000,0.001856000,0.001897375,0.3020,48,0.090048
16,48,0.002566250,0.002550708,0.002575250,0.4530,48,0.123180
16,64,0.003282417,0.003259958,0.003297625,0.6040,48,0.157556
16,96,0.004783542,0.004737750,0.004903875,0.9060,48,0.229610
16,128,0.006136583,0.006127625,0.006240250,1.2080,48,0.294556
32,8,0.000804417,0.000785458,0.000822917,0.0755,48,0.038612
32,16,0.001268250,0.001253333,0.001281458,0.1510,48,0.060876
32,24,0.001590208,0.001571792,0.001610125,0.2265,48,0.076330
32,32,0.001937125,0.001925750,0.001949500,0.3020,48,0.092982
32,48,0.002648500,0.002630292,0.002683000,0.4530,48,0.127128
32,64,0.003369333,0.003358208,0.003404667,0.6040,48,0.161728
32,96,0.004847167,0.004822375,0.004871917,0.9060,48,0.232664
32,128,0.006309125,0.006296958,0.006438000,1.2080,48,0.302838
