format,bpw,ppl,ppl_fp32,dppl_pct,dnll,dnll_se,kl,top1,tokens
q8_row,10.098,8.5046,8.5258,-0.249,-0.00249,0.00046,0.00260,0.9788,38400
q8_g32,10.458,8.5156,8.5258,-0.120,-0.00120,0.00029,0.00076,0.9896,38400
q4_row,7.142,14.5393,8.5258,70.532,0.53375,0.01315,0.70578,0.6771,38400
q4_rowcol,7.150,15.2896,8.5258,79.332,0.58407,0.01441,0.65746,0.6952,38400
q4_g128,7.225,10.1481,8.5258,19.028,0.17419,0.00654,0.27939,0.7939,38400
q4_g64,7.317,9.6603,8.5258,13.306,0.12492,0.00601,0.20875,0.8185,38400
q4_g32,7.502,9.4125,8.5258,10.399,0.09893,0.00443,0.16500,0.8367,38400
q8_g32+embed,8.500,8.5167,8.5258,-0.106,-0.00107,0.00029,0.00083,0.9887,38400
q4_g32+embed,4.500,9.5548,8.5258,12.069,0.11394,0.00477,0.18398,0.8255,38400
q4_row_mse,7.142,12.9107,8.5258,51.431,0.41496,0.01212,0.52761,0.7209,38400
q4_g64_mse,7.317,9.7564,8.5258,14.433,0.13482,0.00659,0.19896,0.8202,38400
q4_g32_mse,7.502,9.3697,8.5258,9.898,0.09438,0.00462,0.15437,0.8416,38400
q4_g32_mse+embed,4.500,9.5163,8.5258,11.618,0.10991,0.00470,0.17230,0.8304,38400
q8_row+embed,8.013,8.5054,8.5258,-0.240,-0.00240,0.00051,0.00275,0.9783,38400
