prompt,config,reps,tokens,median_tok_s,speedup,tokens_per_pass,acceptance,median_draft_s,median_verify_s,identical_to_greedy
explain,plain,3,75,23.40,1.000,0.99,0.000,0.000,3.139,True
explain,lookup-4,3,75,21.30,0.910,1.00,0.012,0.000,3.443,True
explain,model-2,3,75,32.90,1.406,2.47,0.750,0.708,1.519,True
explain,model-3,3,75,29.00,1.239,2.55,0.529,0.953,1.567,True
explain,model-4,3,75,28.80,1.231,2.96,0.500,1.092,1.456,True
explain,model-6,3,75,27.00,1.154,3.52,0.429,1.355,1.364,True
explain,model-8,3,75,23.60,1.009,3.70,0.344,1.707,1.407,True
code,plain,3,128,23.70,1.000,1.00,0.000,0.000,5.331,True
code,lookup-4,3,128,26.30,1.110,1.34,0.182,0.000,4.778,True
code,model-2,3,128,35.50,1.498,2.65,0.823,1.079,2.468,True
code,model-3,3,128,34.60,1.460,3.10,0.707,1.354,2.279,True
code,model-4,3,128,34.90,1.473,3.63,0.669,1.523,2.069,True
code,model-6,3,128,36.40,1.536,4.70,0.639,1.701,1.755,True
code,model-8,3,128,33.90,1.430,5.29,0.565,1.989,1.715,True
list,plain,3,47,23.50,1.000,0.98,0.000,0.000,1.944,True
list,lookup-4,3,47,20.80,0.885,0.98,0.000,0.000,2.201,True
list,model-2,3,47,30.40,1.294,2.30,0.675,0.497,1.002,True
list,model-3,3,47,31.50,1.340,2.88,0.646,0.603,0.845,True
list,model-4,3,47,35.30,1.502,3.83,0.729,0.611,0.675,True
list,model-6,3,47,29.00,1.234,3.83,0.486,0.850,0.723,True
list,model-8,3,47,26.70,1.136,4.18,0.409,1.001,0.704,True
rewrite,plain,3,128,23.60,1.000,1.00,0.000,0.000,5.344,True
rewrite,lookup-4,3,128,26.30,1.114,1.38,0.173,0.000,4.783,True
rewrite,model-2,3,128,35.10,1.487,2.65,0.842,1.094,2.485,True
rewrite,model-3,3,128,37.20,1.576,3.34,0.781,1.267,2.115,True
rewrite,model-4,3,128,34.30,1.453,3.63,0.664,1.588,2.075,True
rewrite,model-6,3,128,36.50,1.547,4.88,0.662,1.746,1.700,True
rewrite,model-8,3,128,33.20,1.407,5.29,0.559,2.072,1.720,True
story,plain,3,115,23.60,1.000,0.99,0.000,0.000,4.809,True
story,lookup-4,3,115,21.60,0.915,1.01,0.013,0.000,5.238,True
story,model-2,3,115,26.00,1.102,1.84,0.427,1.312,3.035,True
story,model-3,3,115,22.40,0.949,1.87,0.295,1.881,3.171,True
story,model-4,3,115,20.20,0.856,1.93,0.237,2.375,3.233,True
story,model-6,3,115,16.00,0.678,1.93,0.158,3.550,3.538,True
story,model-8,3,115,13.60,0.576,1.97,0.123,4.616,3.753,True
